HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,Latitude,Longitude
SCOTT RD / LARSON RD,Fatal/Injury Collision,1,2011,49.2009218,-122.8500753
16TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1339581,-122.8679659
168TH ST / 20TH AVE,Fatal/Injury Collision,1,2011,49.1960851,-122.7966539
96TH AVE / 192ND ST,Fatal/Injury Collision,1,2011,49.1825932,-122.8874077
96TH AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.1700919,-122.7789298
112A AVE / BRIDGEVIEW DR,Fatal/Injury Collision,1,2011,49.1617811,-122.7902613
144TH ST / 88TH AVE,Fatal/Injury Collision,1,2011,49.1191172,-122.8009159
SUNWOOD DR / 120TH ST,Fatal/Injury Collision,1,2011,49.1915138,-122.7869351
108TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.18784350000001,-122.8432483
60TH AVE / MORGAN DR,Fatal/Injury Collision,1,2011,49.1519054,-122.8013784
138TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.1118826,-122.8498431
138TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.106309,-122.8233108
24TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.15554359999999,-122.8013318
76TH AVE / 144TH ST,Fatal/Injury Collision,1,2011,49.1843149,-122.8454323
16TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1503182,-122.8679969
84TH AVE / FRASER HWY,Fatal/Injury Collision,1,2011,49.1263168,-122.7905715
72ND AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1045778,-122.856779
140TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.11917159999999,-122.8232353
KING GEORGE BLVD / 76TH AVE,Fatal/Injury Collision,1,2011,49.1286576,-122.7126406
108TH AVE / 148TH ST,Fatal/Injury Collision,1,2011,49.1765485,-122.7348644
156TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.0165327,-122.7547832
88TH AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.137245,-122.8387536
152ND ST / 40TH AVE,Fatal/Injury Collision,1,2011,49.152274,-122.8903788
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.166869,-122.879208
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1771275,-122.8679718
150TH ST / 88TH AVE,Fatal/Injury Collision,1,2011,49.178799,-122.8344448
156TH ST / 102ND AVE,Fatal/Injury Collision,1,2011,49.1408717,-122.845624
153RD ST / 105TH AVE,Fatal/Injury Collision,1,2011,49.191447,-122.7384679
57TH AVE / PANORAMA DR,Fatal/Injury Collision,1,2011,49.1045154,-122.8011739
CRESCENT RD / 140TH ST,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
KING GEORGE BLVD / COLEBROOK RD,Fatal/Injury Collision,1,2011,49.1627081,-122.8458917
88TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.16291040000001,-122.817907
56TH AVE / 180TH ST,Fatal/Injury Collision,1,2011,49.162898,-122.80694
ELEVATOR RD / RIVER RD,Fatal/Injury Collision,1,2011,49.1237106,-122.7017048
88TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.206167,-122.8468924
96TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.0165874,-122.7653814
156TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.1840916,-122.823093
68TH AVE / 126TH ST,Fatal/Injury Collision,1,2011,49.1627294,-122.8375314
96TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.10442159999999,-122.7791262
80TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.18439009999999,-122.8901225
102ND AVE / 133A ST,Fatal/Injury Collision,1,2011,49.133631,-122.6908575
153RD ST / 24TH AVE,Fatal/Injury Collision,1,2011,49.1769204,-122.8346279
120TH ST / 101ST AVE,Fatal/Injury Collision,1,2011,49.166475,-122.81234
132ND ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1374736,-122.8877071
144TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1627081,-122.8458917
99TH AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.1191654,-122.8288047
80TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1045154,-122.8011739
HYLAND RD / 140TH ST,Fatal/Injury Collision,1,2011,49.178799,-122.8344448
KING GEORGE BLVD / 76TH AVE,Fatal/Injury Collision,1,2011,49.1190663,-122.8677907
88TH AVE / FRASER HWY,Fatal/Injury Collision,1,2011,49.1379885,-122.734677
TRANS CANADA HWY / 176TH ST ONRP,Fatal/Injury Collision,1,2011,49.15292350000001,-122.7678285
17TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.191553,-122.8286255
140TH ST / 102ND AVE,Fatal/Injury Collision,1,2011,49.0602015,-122.713466
126TH ST / 90TH AVE,Fatal/Injury Collision,1,2011,49.097278,-122.8176528
196TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1079119,-122.8354221
57TH AVE / 177B ST,Fatal/Injury Collision,1,2011,49.0529237,-122.8121787
68TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1878257,-122.8455894
96TH AVE / 168TH ST,Fatal/Injury Collision,1,2011,49.0518642,-122.8013477
FRASER HWY / 138TH ST,Fatal/Injury Collision,1,2011,49.1481495,-122.8458354
KING RD / 141A ST,Fatal/Injury Collision,1,2011,49.2041719,-122.853126
64TH AVE / 148TH ST,Fatal/Injury Collision,1,2011,49.1265905,-122.8706645
142ND ST / HYLAND RD,Fatal/Injury Collision,1,2011,49.13373319999999,-122.8011655
68A AVE / HELSTON CRES,Fatal/Injury Collision,1,2011,49.1944309,-122.8424156
72ND AVE / 150TH ST,Fatal/Injury Collision,1,2011,49.1770505,-122.8434251
64TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1987331,-122.8124861
104TH AVE / SCOTT RD,Fatal/Injury Collision,1,2011,49.111814,-122.817769
120TH ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.186183,-122.845107
122ND ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.1769434,-122.8250444
80TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1627081,-122.8458917
160TH ST / 24TH AVE,Fatal/Injury Collision,1,2011,49.1625479,-122.868114
154TH ST / 105TH AVE,Fatal/Injury Collision,1,2011,49.1625479,-122.868114
63RD AVE / 167A ST,Fatal/Injury Collision,1,2011,49.1229914,-122.88747
FRASER HWY / 148TH ST,Fatal/Injury Collision,1,2011,49.0055363,-122.7400748
176TH ST / 32ND AVE,Fatal/Injury Collision,1,2011,49.14817859999999,-122.7527342
176TH ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1557438,-122.7747112
160TH ST / 98TH AVE,Fatal/Injury Collision,1,2011,49.1554464,-122.845802
24TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1770965,-122.7566399
88TH AVE / 187TH ST,Fatal/Injury Collision,1,2011,49.21317579999999,-122.8618348
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.12627029999999,-122.8427241
154TH ST / 17A AVE,Fatal/Injury Collision,1,2011,49.100466,-122.7127495
176TH ST / 60TH AVE,Fatal/Injury Collision,1,2011,49.1546094,-122.8791011
40TH AVE / 168TH ST,Fatal/Injury Collision,1,2011,49.170129,-122.790073
96TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1483885,-122.8790635
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1689924,-122.6941252
152ND ST / 84TH AVE,Fatal/Injury Collision,1,2011,49.1507373,-122.7622622
100TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.118617,-122.6922411
104TH AVE / 156TH ST,Fatal/Injury Collision,1,2011,49.118737,-122.7308135
76TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1700901,-122.8401107
156TH ST / 88TH AVE,Fatal/Injury Collision,1,2011,49.1156048,-122.8677807
108TH AVE / 144TH ST,Fatal/Injury Collision,1,2011,49.13398309999999,-122.8848226
FRASER HWY / 88TH AVE,Fatal/Injury Collision,1,2011,49.1045161,-122.8311761
152ND ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1333291,-122.7125131
130TH ST / 84TH AVE,Fatal/Injury Collision,1,2011,49.1553623,-122.8622979
104TH AVE / 150TH ST,Fatal/Injury Collision,1,2011,49.18814,-122.8900452
FRASER HWY / 140TH ST,Fatal/Injury Collision,1,2011,49.1190816,-122.8454849
FRASER HWY / WHALLEY BLVD,Fatal/Injury Collision,1,2011,49.1530982,-122.8233973
76TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.03118490000001,-122.8053019
104TH AVE / 156TH ST,Fatal/Injury Collision,1,2011,49.163747,-122.7787782
153RD ST / 101ST AVE,Fatal/Injury Collision,1,2011,49.1972068,-122.7675055
32ND AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.1555437,-122.801313
