HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,LATITUDE,LONGTITUDE
FRASER HWY / 138TH ST,Fatal/Injury Collision,1,2011,49.1807917,-122.8398326
KING RD / 141A ST,Fatal/Injury Collision,1,2011,49.2137244,-122.8285522
64TH AVE / 148TH ST,Fatal/Injury Collision,1,2011,49.119079,-122.8121891
142ND ST / HYLAND RD,Fatal/Injury Collision,1,2011,49.12566899999999,-122.828814
68A AVE / HELSTON CRES,Fatal/Injury Collision,1,2011,49.1272788,-122.8649971
72ND AVE / 150TH ST,Fatal/Injury Collision,1,2011,49.1337243,-122.8066544
64TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1190816,-122.8454849
104TH AVE / SCOTT RD,Fatal/Injury Collision,1,2011,49.19413489999999,-122.8884084
120TH ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.1341438,-122.8902726
122ND ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.13398309999999,-122.8848226
80TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1481495,-122.8458354
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1335876,-122.8455784
154TH ST / 105TH AVE,Fatal/Injury Collision,1,2011,49.193357,-122.795316
160TH ST / 24TH AVE,Fatal/Injury Collision,1,2011,49.04549129999999,-122.7791439
63RD AVE / 167A ST,Fatal/Injury Collision,1,2011,49.1164519,-122.7590365
FRASER HWY / 148TH ST,Fatal/Injury Collision,1,2011,49.1703441,-122.8123818
176TH ST / 32ND AVE,Fatal/Injury Collision,1,2011,49.0601293,-122.7353519
176TH ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1041901,-122.7350103
160TH ST / 98TH AVE,Fatal/Injury Collision,1,2011,49.1806259,-122.778708
24TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.0455228,-122.7934725
88TH AVE / 187TH ST,Fatal/Injury Collision,1,2011,49.1628455,-122.7053646
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.2064008,-122.8674434
154TH ST / 17A AVE,Fatal/Injury Collision,1,2011,49.033827,-122.795694
176TH ST / 60TH AVE,Fatal/Injury Collision,1,2011,49.1114306,-122.7350141
40TH AVE / 168TH ST,Fatal/Injury Collision,1,2011,49.074939,-122.75681
96TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.17688039999999,-122.8010288
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1335876,-122.8455784
152ND ST / 84TH AVE,Fatal/Injury Collision,1,2011,49.15554359999999,-122.8013318
100TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1843149,-122.8454323
104TH AVE / 156TH ST,Fatal/Injury Collision,1,2011,49.19162,-122.7897491
76TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1409409,-122.8568244
156TH ST / 88TH AVE,Fatal/Injury Collision,1,2011,49.16286359999999,-122.7901955
108TH AVE / 144TH ST,Fatal/Injury Collision,1,2011,49.1987793,-122.8230401
FRASER HWY / 88TH AVE,Fatal/Injury Collision,1,2011,49.1630721,-122.7938233
152ND ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1191172,-122.8009159
130TH ST / 84TH AVE,Fatal/Injury Collision,1,2011,49.1553623,-122.8622979
104TH AVE / 150TH ST,Fatal/Injury Collision,1,2011,49.191439,-122.8064123
FRASER HWY / 140TH ST,Fatal/Injury Collision,1,2011,49.178799,-122.8344448
FRASER HWY / WHALLEY BLVD,Fatal/Injury Collision,1,2011,49.18067480000001,-122.841427
76TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1408717,-122.845624
104TH AVE / 156TH ST,Fatal/Injury Collision,1,2011,49.19162,-122.7897491
153RD ST / 101ST AVE,Fatal/Injury Collision,1,2011,49.186145,-122.798135
32ND AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.0600759,-122.779163
72ND AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.13373319999999,-122.8011655
FRASER HWY / 88TH AVE,Fatal/Injury Collision,1,2011,49.1630721,-122.7938233
123A ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.177159,-122.880521
188TH ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1041526,-122.7017013
88TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1625479,-122.868114
58TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
121ST ST / 66TH AVE,Fatal/Injury Collision,1,2011,49.1229914,-122.88747
64TH AVE / 184TH ST,Fatal/Injury Collision,1,2011,49.1188094,-122.7126571
156TH ST / 20TH AVE,Fatal/Injury Collision,1,2011,49.0383377,-122.7902459
176A ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.104164,-122.7336802
105A AVE / UNIVERSITY DR,Fatal/Injury Collision,1,2011,49.1944755,-122.8509358
KING GEORGE BLVD / 104A AVE,Fatal/Injury Collision,1,2011,49.192774,-122.84523
76A AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.142365,-122.867944
KING GEORGE BLVD / BOLIVAR CRES,Fatal/Injury Collision,1,2011,49.2024757,-122.8505934
120TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1771248,-122.8900787
164TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.15292350000001,-122.7678285
24TH AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.04549129999999,-122.7791439
