,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3727,Fatal/Injury Collision,100TH AVE / WHALLEY BLVD,1,2012
3728,Fatal/Injury Collision,102A AVE / 102ND AVE,1,2012
3729,Fatal/Injury Collision,148TH ST / 84TH AVE,1,2012
3730,Fatal/Injury Collision,166TH ST / FRASER HWY,1,2012
3731,Fatal/Injury Collision,152ND ST / KING GEORGE BLVD,1,2012
3732,Fatal/Injury Collision,KING GEORGE BLVD / 96TH AVE,1,2012
3733,Fatal/Injury Collision,88TH AVE / 176TH ST,1,2012
3734,Fatal/Injury Collision,KING GEORGE BLVD / 72ND AVE,1,2012
3735,Fatal/Injury Collision,101ST AVE / 152ND ST,1,2012
3736,Fatal/Injury Collision,128TH ST / KING GEORGE BLVD,1,2012
3737,Fatal/Injury Collision,104TH AVE / 160TH ST,1,2012
3738,Fatal/Injury Collision,64TH AVE / 132ND ST,1,2012
3739,Fatal/Injury Collision,128TH ST / KING GEORGE BLVD,1,2012
3740,Fatal/Injury Collision,128TH ST / KING GEORGE BLVD,1,2012
3741,Fatal/Injury Collision,127TH ST / 80TH AVE,1,2012
3742,Fatal/Injury Collision,94TH AVE / 120TH ST,1,2012
3743,Fatal/Injury Collision,180TH ST / 58TH AVE,1,2012
3744,Fatal/Injury Collision,82ND AVE / 152ND ST,1,2012
3745,Fatal/Injury Collision,176TH ST / 80TH AVE,1,2012
3746,Fatal/Injury Collision,148TH ST / 16TH AVE,1,2012
3747,Fatal/Injury Collision,104TH AVE / 140TH ST,1,2012
3748,Fatal/Injury Collision,123A ST / 96TH AVE,1,2012
3749,Fatal/Injury Collision,91ST AVE / 152ND ST,1,2012
3750,Fatal/Injury Collision,74TH AVE / KING GEORGE BLVD,1,2012
3751,Fatal/Injury Collision,164TH ST / 16TH AVE,1,2012
3752,Fatal/Injury Collision,120TH ST / 101ST AVE,1,2012
3753,Fatal/Injury Collision,100TH AVE / 160TH ST,1,2012
3754,Fatal/Injury Collision,TRITES RD / KING GEORGE BLVD,1,2012
3755,Fatal/Injury Collision,152ND ST / 64TH AVE,1,2012
3756,Fatal/Injury Collision,16TH AVE / MARTIN DR,1,2012
3757,Fatal/Injury Collision,144TH ST / 78TH AVE,1,2012
3758,Fatal/Injury Collision,72ND AVE / 132ND ST,1,2012
3759,Fatal/Injury Collision,108TH AVE / 148TH ST,1,2012
3760,Fatal/Injury Collision,176TH ST / 24TH AVE,1,2012
3761,Fatal/Injury Collision,152ND ST / 100TH AVE,1,2012
3762,Fatal/Injury Collision,KING GEORGE BLVD / 26TH AVE,1,2012
3763,Fatal/Injury Collision,153RD ST / 101ST AVE,1,2012
3764,Fatal/Injury Collision,176TH ST / 62ND AVE,1,2012
3765,Fatal/Injury Collision,192ND ST / COLEBROOK RD,1,2012
3766,Fatal/Injury Collision,104TH AVE / 132ND ST,1,2012
3767,Fatal/Injury Collision,152ND ST / 81ST AVE,1,2012
3768,Fatal/Injury Collision,176TH ST / 80TH AVE,1,2012
3769,Fatal/Injury Collision,FRASER HWY / FLEETWOOD WAY,1,2012
3770,Fatal/Injury Collision,103A AVE / SCOTT RD,1,2012
3771,Fatal/Injury Collision,FRASER HWY / 170TH ST,1,2012
3772,Fatal/Injury Collision,154TH ST / 18TH AVE,1,2012
3773,Fatal/Injury Collision,75A AVE / 138TH ST,1,2012
3774,Fatal/Injury Collision,56TH AVE / 168TH ST,1,2012
3775,Fatal/Injury Collision,168TH ST / 61ST AVE,1,2012
3776,Fatal/Injury Collision,161ST ST / 24TH AVE,1,2012
3777,Fatal/Injury Collision,104TH AVE / 138TH ST,1,2012
3778,Fatal/Injury Collision,134TH ST / 96TH AVE,1,2012
3779,Fatal/Injury Collision,56TH AVE / 168TH ST,1,2012
3780,Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2012
3781,Fatal/Injury Collision,104TH AVE / 144TH ST,1,2012
3782,Fatal/Injury Collision,144TH ST / 84TH AVE,1,2012
3783,Fatal/Injury Collision,101A AVE / 148TH ST,1,2012
3784,Fatal/Injury Collision,88TH AVE / 120TH ST,1,2012
3785,Fatal/Injury Collision,84TH AVE / 134TH ST,1,2012
3786,Fatal/Injury Collision,92ND AVE / 124A ST,1,2012
3787,Fatal/Injury Collision,94TH AVE / 192ND ST,1,2012
3788,Fatal/Injury Collision,104TH AVE / 160TH ST,1,2012
3789,Fatal/Injury Collision,126TH ST / 64TH AVE,1,2012
3790,Fatal/Injury Collision,152ND ST / 40TH AVE,1,2012
3791,Fatal/Injury Collision,70A AVE / KING GEORGE BLVD,1,2012
3792,Fatal/Injury Collision,138TH ST / 92ND AVE,1,2012
3793,Fatal/Injury Collision,74TH AVE / KING GEORGE BLVD,1,2012
3794,Fatal/Injury Collision,134TH ST / 64TH AVE,1,2012
3795,Fatal/Injury Collision,148TH ST / 58TH AVE,1,2012
3796,Fatal/Injury Collision,140TH ST / FRASER HWY,1,2012
3797,Fatal/Injury Collision,160TH ST / 92ND AVE,1,2012
3798,Fatal/Injury Collision,81ST AVE / KING GEORGE BLVD,1,2012
3799,Fatal/Injury Collision,80TH AVE / KING GEORGE BLVD,1,2012
3800,Fatal/Injury Collision,108TH AVE / 144A ST,1,2012
3801,Fatal/Injury Collision,108TH AVE / ORIOLE DR,1,2012
3802,Fatal/Injury Collision,72ND AVE / 122ND ST,1,2012
3803,Fatal/Injury Collision,20TH AVE / 148TH ST,1,2012
3804,Fatal/Injury Collision,104TH AVE / 152ND ST,1,2012
3805,Fatal/Injury Collision,KING GEORGE BLVD / 88TH AVE,1,2012
3806,Fatal/Injury Collision,104TH AVE / 160TH ST,1,2012
3807,Fatal/Injury Collision,146TH ST / 60TH AVE,1,2012
3808,Fatal/Injury Collision,KING GEORGE BLVD / 96TH AVE,1,2012
3809,Fatal/Injury Collision,64TH AVE / 152ND ST,1,2012
3810,Fatal/Injury Collision,129A ST / 64TH AVE,1,2012
3811,Fatal/Injury Collision,154TH ST / 17A AVE,1,2012
