,Unnamed: 0,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3831,3831,Fatal/Injury Collision,184TH ST / 60TH AVE,1,2011
3832,3832,Fatal/Injury Collision,24TH AVE / CROYDON DR,1,2011
3833,3833,Fatal/Injury Collision,82ND AVE / 120TH ST,1,2011
3834,3834,Fatal/Injury Collision,152ND ST / 56TH AVE,1,2011
3835,3835,Fatal/Injury Collision,SCOTT RD / 103A AVE,1,2011
3836,3836,Fatal/Injury Collision,150TH ST / 104TH AVE,1,2011
3837,3837,Fatal/Injury Collision,16TH AVE / 152ND ST,1,2011
3838,3838,Fatal/Injury Collision,132ND ST / 88TH AVE,1,2011
3839,3839,Fatal/Injury Collision,130TH ST / 76TH AVE,1,2011
3840,3840,Fatal/Injury Collision,68TH AVE / FRASER HWY,1,2011
3841,3841,Fatal/Injury Collision,120TH ST / 93A AVE,1,2011
3842,3842,Fatal/Injury Collision,184TH ST / 60TH AVE,1,2011
3843,3843,Fatal/Injury Collision,84TH AVE / 128TH ST,1,2011
3844,3844,Fatal/Injury Collision,KING GEORGE BLVD / 80TH AVE,1,2011
3845,3845,Fatal/Injury Collision,96TH AVE / 148TH ST,1,2011
3846,3846,Fatal/Injury Collision,128TH ST / 96TH AVE,1,2011
3847,3847,Fatal/Injury Collision,72ND AVE / 152ND ST,1,2011
3848,3848,Fatal/Injury Collision,CROYDON DR / 24TH AVE,1,2011
3849,3849,Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2011
3850,3850,Fatal/Injury Collision,152ND ST / 91ST AVE,1,2011
3851,3851,Fatal/Injury Collision,160TH ST / 88A AVE,1,2011
3852,3852,Fatal/Injury Collision,68TH AVE / 120TH ST,1,2011
3853,3853,Fatal/Injury Collision,68TH AVE / KING GEORGE BLVD,1,2011
3854,3854,Fatal/Injury Collision,104TH AVE / WHALLEY BLVD,1,2011
3855,3855,Fatal/Injury Collision,64TH AVE / 152ND ST,1,2011
3856,3856,Fatal/Injury Collision,68TH AVE / 128TH ST,1,2011
3857,3857,Fatal/Injury Collision,132ND ST / 100TH AVE,1,2011
3858,3858,Fatal/Injury Collision,88TH AVE / KING GEORGE BLVD,1,2011
3859,3859,Fatal/Injury Collision,128TH ST / 58TH AVE,1,2011
3860,3860,Fatal/Injury Collision,72ND AVE / 128TH ST,1,2011
3861,3861,Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2011
3862,3862,Fatal/Injury Collision,HALL RD / 72ND AVE,1,2011
3863,3863,Fatal/Injury Collision,KING GEORGE BLVD / 72ND AVE,1,2011
3864,3864,Fatal/Injury Collision,104TH AVE / 160TH ST,1,2011
3865,3865,Fatal/Injury Collision,132ND ST / 64TH AVE,1,2011
3866,3866,Fatal/Injury Collision,WHALLEY BLVD / FRASER HWY,1,2011
3867,3867,Fatal/Injury Collision,MARTIN DR / SOUTHMERE CRES E,1,2011
3868,3868,Fatal/Injury Collision,104TH AVE / 132ND ST,1,2011
3869,3869,Fatal/Injury Collision,132ND ST / 96TH AVE,1,2011
3870,3870,Fatal/Injury Collision,77TH AVE / KING GEORGE BLVD,1,2011
3871,3871,Fatal/Injury Collision,96TH AVE / KING GEORGE BLVD,1,2011
3872,3872,Fatal/Injury Collision,152ND ST / 56TH AVE,1,2011
3873,3873,Fatal/Injury Collision,152ND ST / 96TH AVE,1,2011
3874,3874,Fatal/Injury Collision,164TH ST / 80TH AVE,1,2011
3875,3875,Fatal/Injury Collision,64TH AVE / 168TH ST,1,2011
